Movie_Name,Rating,Voting_Counts,Duration_Total,Genre,Duration_Minutes,Duration_Category,Duration
Nosferatu,7.2,212000.0,2h 12m,Horror,132.0,120-150 min,2–3 hrs
Heretic,7.0,164000.0,1h 51m,Horror,111.0,Standard,< 2 hrs
The Substance,7.2,320000.0,2h 21m,Horror,141.0,120-150 min,2–3 hrs
Please Don't Feed the Children,4.9,343.0,1h 34m,Horror,94.0,Standard,< 2 hrs
Presence,6.1,30000.0,1h 24m,Horror,84.0,Short,< 2 hrs
Speak No Evil,6.8,111000.0,1h 50m,Horror,110.0,Standard,< 2 hrs
Alien: Romulus,7.1,255000.0,1h 59m,Horror,119.0,Standard,< 2 hrs
Longlegs,6.6,194000.0,1h 41m,Horror,101.0,Standard,< 2 hrs
Kinds of Kindness,6.5,61000.0,2h 44m,Horror,164.0,150+ min,2–3 hrs
Beetlejuice Beetlejuice,6.6,155000.0,1h 45m,Horror,105.0,Standard,< 2 hrs
Salem's Lot,5.6,35000.0,1h 54m,Horror,114.0,Standard,< 2 hrs
Smile 2,6.7,115000.0,2h 7m,Horror,127.0,120-150 min,2–3 hrs
Trap,5.8,146000.0,1h 45m,Horror,105.0,Standard,< 2 hrs
I Don't Understand You,5.5,713.0,1h 37m,Horror,97.0,Standard,< 2 hrs
Abigail,6.5,101000.0,1h 49m,Horror,109.0,Standard,< 2 hrs
MaXXXine,6.2,74000.0,1h 43m,Horror,103.0,Standard,< 2 hrs
A Quiet Place: Day One,6.3,155000.0,1h 39m,Horror,99.0,Standard,< 2 hrs
The Shrouds,5.8,3900.0,,Horror,,150+ min,3–4 hrs
Oddity,6.7,47000.0,1h 38m,Horror,98.0,Standard,< 2 hrs
Terrifier 3,6.3,52000.0,2h 5m,Horror,125.0,120-150 min,2–3 hrs
The Strangers: Chapter 1,4.6,23000.0,1h 31m,Horror,91.0,Standard,< 2 hrs
Don't Move,5.8,41000.0,1h 32m,Horror,92.0,Standard,< 2 hrs
The Crow,4.7,37000.0,1h 51m,Horror,111.0,Standard,< 2 hrs
Witchboard,7.5,113.0,1h 52m,Horror,112.0,Standard,< 2 hrs
Cuckoo,5.7,29000.0,1h 42m,Horror,102.0,Standard,< 2 hrs
The Rule of Jenny Pen,6.2,6100.0,1h 44m,Horror,104.0,Standard,< 2 hrs
Immaculate,5.8,54000.0,1h 29m,Horror,89.0,Short,< 2 hrs
The Watchers,5.7,59000.0,1h 42m,Horror,102.0,Standard,< 2 hrs
Time Cut,5.0,20000.0,1h 31m,Horror,91.0,Standard,< 2 hrs
MadS,6.4,8900.0,1h 29m,Horror,89.0,Short,< 2 hrs
