Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
Riff Raff,5.7,4.5K,1h 43m,Comedy
Anora,7.5,208K,2h 19m,Comedy
Friendship,7.0,14K,1h 40m,Comedy
Deadpool & Wolverine,7.5,510K,2h 8m,Comedy
The Ministry of Ungentlemanly Warfare,6.8,140K,2h 2m,Comedy
Sonic the Hedgehog 3,6.9,66K,1h 50m,Comedy
The Fall Guy,6.8,228K,2h 6m,Comedy
A Real Pain,7.1,106K,1h 30m,Comedy
Fight or Flight,6.4,15K,1h 42m,Comedy
Moana 2,6.5,111K,1h 40m,Comedy
Beetlejuice Beetlejuice,6.6,156K,1h 45m,Comedy
Kinds of Kindness,6.5,62K,2h 44m,Comedy
Argylle,5.6,94K,2h 19m,Comedy
Challengers,7.0,160K,2h 11m,Comedy
Distant,5.7,3.9K,1h 27m,Comedy
Sister Midnight,5.9,1.3K,1h 47m,Comedy
Abigail,6.5,101K,1h 49m,Comedy
Inside Out 2,7.5,224K,1h 36m,Comedy
Borderlands,4.7,51K,1h 41m,Comedy
Fly Me to the Moon,6.6,52K,2h 12m,Comedy
Freaky Tales,6.2,7.7K,1h 47m,Comedy
The Instigators,6.2,39K,1h 41m,Comedy
The Idea of You,6.3,75K,1h 55m,Comedy
IF,6.4,60K,1h 44m,Comedy
On Becoming a Guinea Fowl,7.0,1.3K,1h 39m,Comedy
Paddington in Peru,6.7,26K,1h 46m,Comedy
Saturday Night,6.9,33K,1h 49m,Comedy
F*** Marry Kill,5.3,3.3K,1h 37m,Comedy
Despicable Me 4,6.2,69K,1h 34m,Comedy
The Pee Pee Poo Poo Man,8.1,38,1h 19m,Comedy
My Old Ass,6.9,42K,1h 29m,Comedy
Ghostbusters: Frozen Empire,6.1,96K,1h 55m,Comedy
The Visitor,4.1,392,1h 41m,Comedy
Bad Boys: Ride or Die,6.5,103K,1h 55m,Comedy
Kneecap,7.6,20K,1h 45m,Comedy
Snack Shack,7.0,14K,1h 52m,Comedy
The Supremes at Earl's All-You-Can-Eat,6.5,1.5K,2h 4m,Comedy
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,6.3K,1h 31m,Comedy
A Different Man,6.9,32K,1h 52m,Comedy
The Friend,6.3,3.3K,1h 59m,Comedy
Sketch,8.0,84,1h 32m,Comedy
The Union,5.4,54K,1h 47m,Comedy
Bob Trevino Likes It,7.5,2.6K,1h 41m,Comedy
A Family Affair,5.4,38K,1h 51m,Comedy
Ricky Stanicky,6.2,58K,1h 53m,Comedy
It's What's Inside,6.6,44K,1h 43m,Comedy
Red One,6.3,143K,2h 3m,Comedy
Mean Girls,5.5,38K,1h 52m,Comedy
Role Play,5.5,19K,1h 40m,Comedy
Kung Fu Panda 4,6.3,71K,1h 34m,Comedy
Drive-Away Dolls,5.4,24K,1h 24m,Comedy
I Don't Understand You,5.5,846,1h 37m,Comedy
A Nice Indian Boy,7.4,2.4K,1h 36m,Comedy
The Killer's Game,5.8,18K,1h 44m,Comedy
Jane Austen Wrecked My Life,6.4,904,1h 38m,Comedy
Jackpot!,5.8,31K,1h 46m,Comedy
Nightbitch,5.5,21K,1h 39m,Comedy
The Wonderful Story of Henry Sugar and Three More,7.1,8.5K,1h 28m,Comedy
Beverly Hills Cop: Axel F,6.4,83K,1h 58m,Comedy
Incoming,5.8,15K,1h 31m,Comedy
How to Make Millions Before Grandma Dies,7.9,17K,2h 5m,Comedy
Miller's Girl,5.2,24K,1h 33m,Comedy
Old Guy,5.2,3.3K,1h 34m,Comedy
Your Monster,6.4,6.4K,1h 43m,Comedy
Holy Cow,7.1,2.7K,1h 32m,Comedy
Thelma,7.0,24K,1h 38m,Comedy
Lift,5.5,50K,1h 47m,Comedy
Y2K,4.8,17K,1h 31m,Comedy
Goodrich,6.3,6.3K,1h 50m,Comedy
Get Away,5.3,7.7K,1h 26m,Comedy
The Garfield Movie,5.7,25K,1h 41m,Comedy
Greedy People,6.2,13K,1h 52m,Comedy
Skincare,5.7,5K,1h 36m,Comedy
Wallace & Gromit: Vengeance Most Fowl,7.5,36K,1h 22m,Comedy
Eephus,6.8,1.1K,1h 39m,Comedy
Spermageddon,5.5,1.2K,1h 20m,Comedy
Misericordia,6.8,2.7K,1h 44m,Comedy
Dan Da Dan: First Encounter,8.2,3K,1h 23m,Comedy
Hard Truths,7.2,6.6K,1h 37m,Comedy
Brothers,5.4,14K,1h 29m,Comedy
Sacramento,5.9,1.7K,1h 29m,Comedy
Upgraded,6.1,30K,1h 44m,Comedy
Unfrosted,5.5,35K,1h 37m,Comedy
Lisa Frankenstein,6.1,29K,1h 41m,Comedy
Bad Shabbos,7.1,313,1h 24m,Comedy
Ghostlight,7.6,6.5K,1h 55m,Comedy
Invention,6.2,97,1h 12m,Comedy
Sew Torn,6.1,845,1h 40m,Comedy
The Marching Band,7.4,4.1K,1h 43m,Comedy
Dìdi,7.3,14K,1h 33m,Comedy
Spellbound,5.5,8K,1h 49m,Comedy
My Dead Friend Zoe,6.5,2.9K,1h 43m,Comedy
Vulgar,5.4,200,1h 43m,Comedy
My Spy: The Eternal City,5.7,11K,1h 52m,Comedy
My Favourite Cake,7.4,7.9K,1h 37m,Comedy
The Uninvited,5.3,770,1h 37m,Comedy
Peacock,7.2,674,1h 42m,Comedy
Superboys of Malegaon,7.7,6K,2h 7m,Comedy
The American Society of Magical Negroes,3.8,12K,1h 44m,Comedy
Find Me Falling,6.3,13K,1h 33m,Comedy
Four Mothers,7.0,512,1h 29m,Comedy
Universal Language,6.9,2K,1h 29m,Comedy
Dear Santa,5.4,19K,1h 47m,Comedy
Aavesham,7.8,29K,2h 35m,Comedy
Family Pack,5.5,9.7K,1h 34m,Comedy
The Southern Chronicles,8.7,2.9K,N/A,Comedy
Simarik,5.3,4K,1h 51m,Comedy
Dead Talents Society,7.0,2.6K,1h 51m,Comedy
Turn Me On,5.6,762,1h 39m,Comedy
Orion and the Dark,6.3,18K,1h 33m,Comedy
Piece by Piece,6.9,6.3K,1h 33m,Comedy
The Balconettes,5.9,1.4K,1h 44m,Comedy
Winner,6.5,2.7K,1h 43m,Comedy
The Second Act,6.4,3.8K,1h 20m,Comedy
Tim Travers & the Time Travelers Paradox,6.8,344,1h 35m,Comedy
Mother of the Bride,4.8,17K,1h 28m,Comedy
Super Happy Forever,6.9,274,1h 34m,Comedy
Harold and the Purple Crayon,5.7,8.9K,1h 30m,Comedy
Adult Best Friends,5.2,548,1h 30m,Comedy
Sunlight,7.6,37,1h 36m,Comedy
Babes,6.3,6.6K,1h 44m,Comedy
Lopaliki Ra Chepta,8.4,1.5K,1h 52m,Comedy
Sweethearts,5.6,4.2K,1h 38m,Comedy
Ultraman: Rising,6.9,6.7K,1h 57m,Comedy
Our Little Secret,5.7,24K,1h 41m,Comedy
Diamanti,6.7,1.6K,2h 15m,Comedy
This Time Next Year,5.6,2.4K,1h 56m,Comedy
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,6.2,1.6K,1h 42m,Comedy
Stree 2: Sarkate Ka Aatank,6.9,43K,2h 27m,Comedy
Rumours,4.9,5.2K,1h 44m,Comedy
The 4:30 Movie,6.0,4K,1h 27m,Comedy
Love in the Big City,7.4,1.7K,1h 58m,Comedy
Modi: Three Days on the Wing of Madness,5.4,611,1h 48m,Comedy
That Christmas,6.8,17K,1h 31m,Comedy
The Astronaut Lovers,7.1,972,1h 56m,Comedy
Night of the Zoopocalypse,6.0,968,1h 31m,Comedy
Let's Start a Cult,5.9,1.6K,1h 30m,Comedy
Yolo,6.9,3.9K,2h 9m,Comedy
Arena Wars,5.5,3.2K,1h 36m,Comedy
Irish Wish,5.2,22K,1h 33m,Comedy
Longing,4.7,929,1h 51m,Comedy
Through My Window: Looking at You,5.5,5.6K,1h 45m,Comedy
Beautiful Wedding,4.1,4.4K,1h 40m,Comedy
Lake George,6.4,1.6K,1h 58m,Comedy
I Am What I Am 2,7.5,399,2h 14m,Comedy
The Radleys,5.0,3K,1h 55m,Comedy
Jamais sans mon psy,5.0,553,1h 31m,Comedy
Die Hart 2: Die Harter,4.3,5.7K,1h 32m,Comedy
Doraemon the Movie: Nobita's Earth Symphony,6.6,1.6K,1h 55m,Comedy
Crayon Shin-chan: Our Dinosaur Diary,6.6,622,1h 46m,Comedy
Shell,6.8,79,1h 40m,Comedy
Hitpig,5.1,1.1K,1h 26m,Comedy
And the Breadwinner Is...,6.0,476,2h 3m,Comedy
Premalu,7.8,21K,2h 36m,Comedy
Haikyu!! The Dumpster Battle,7.7,6.6K,1h 25m,Comedy
Sookshma Darshini,7.8,11K,2h 22m,Comedy
My Ex's Wedding,8.8,58,1h 35m,Comedy
Opa Cor,5.7,374,1h 26m,Comedy
Kyuka: Before Summer's End,6.3,387,1h 43m,Comedy
Megamind vs. The Doom Syndicate,2.5,5.8K,1h 23m,Comedy
Madgaon Express,7.0,41K,2h 23m,Comedy
Up the Catalogue,9.2,8,1h 12m,Comedy
