Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
The Life of Chuck,7.7,8.1K,1h 51m,Drama
Gladiator II,6.5,257K,2h 28m,Drama
Anora,7.5,208K,2h 19m,Drama
We Live in Time,7.0,57K,1h 48m,Drama
The Substance,7.2,322K,2h 21m,Drama
Mon Potongo,4.7,714,2h 29m,Drama
The Brutalist,7.3,95K,3h 36m,Drama
William Tell,5.7,3.4K,2h 14m,Drama
A Complete Unknown,7.3,95K,2h 21m,Drama
Dune: Part Two,8.5,646K,2h 46m,Drama
Conclave,7.4,207K,N/A,Drama
Babygirl,5.8,65K,1h 54m,Drama
The Order,6.8,51K,1h 56m,Drama
40 Acres,7.1,708,1h 53m,Drama
Speak No Evil,6.8,112K,1h 50m,Drama
I'm Still Here,8.2,114K,2h 17m,Drama
Presence,6.1,30K,1h 24m,Drama
Juror #2,7.0,106K,1h 54m,Drama
The Fall Guy,6.8,228K,2h 6m,Drama
A Real Pain,7.1,106K,1h 30m,Drama
Pune Highway,5.2,203,2h 1m,Drama
The Count of Monte-Cristo,7.6,38K,2h 58m,Drama
Small Things Like These,6.7,28K,1h 38m,Drama
Mufasa: The Lion King,6.6,72K,1h 58m,Drama
Parthenope,6.6,15K,2h 17m,Drama
The Assessment,6.6,13K,1h 54m,Drama
The Shrouds,5.8,4.2K,N/A,Drama
Kinds of Kindness,6.5,62K,2h 44m,Drama
Road House,6.2,171K,2h 1m,Drama
Horizon: An American Saga - Chapter 1,6.6,42K,3h 1m,Drama
Challengers,7.0,160K,2h 11m,Drama
Joker: Folie à Deux,5.2,167K,2h 18m,Drama
Distant,5.7,3.9K,1h 27m,Drama
Sister Midnight,5.9,1.3K,1h 47m,Drama
The Last Showgirl,6.5,15K,1h 28m,Drama
It Ends with Us,6.3,89K,2h 10m,Drama
The Apprentice,7.1,61K,2h 2m,Drama
Inside Out 2,7.5,224K,1h 36m,Drama
Rebel Ridge,6.8,92K,2h 11m,Drama
The Return,6.2,11K,1h 56m,Drama
Here,6.3,23K,1h 44m,Drama
Emilia Pérez,5.4,91K,2h 12m,Drama
Freaky Tales,6.2,7.7K,1h 47m,Drama
The Instigators,6.2,39K,1h 41m,Drama
Caddo Lake,6.8,46K,1h 43m,Drama
The Idea of You,6.3,75K,1h 55m,Drama
IF,6.4,60K,1h 44m,Drama
On Becoming a Guinea Fowl,7.0,1.3K,1h 39m,Drama
The Salt Path,7.0,2.4K,1h 55m,Drama
The Thicket,5.8,3.7K,1h 48m,Drama
A Quiet Place: Day One,6.3,156K,1h 39m,Drama
Saturday Night,6.9,33K,1h 49m,Drama
Megalopolis,4.7,38K,2h 18m,Drama
My Old Ass,6.9,42K,1h 29m,Drama
Kingdom of the Planet of the Apes,6.8,156K,2h 25m,Drama
Kneecap,7.6,20K,1h 45m,Drama
The Supremes at Earl's All-You-Can-Eat,6.5,1.5K,2h 4m,Drama
September 5,7.1,27K,1h 35m,Drama
A Different Man,6.9,32K,1h 52m,Drama
Queer,6.4,24K,2h 17m,Drama
