Movie_Name,Rating,Voting_Counts,Genre,Duration
Nosferatu,7.2,212000,Horror,2–3 hrs
Heretic,7.0,164000,Horror,< 2 hrs
The Substance,7.2,320000,Horror,2–3 hrs
Please Don't Feed the Children,4.9,343,Horror,< 2 hrs
Presence,6.1,30000,Horror,< 2 hrs
Speak No Evil,6.8,111000,Horror,< 2 hrs
Alien: Romulus,7.1,255000,Horror,< 2 hrs
Longlegs,6.6,194000,Horror,< 2 hrs
Kinds of Kindness,6.5,61000,Horror,2–3 hrs
Beetlejuice Beetlejuice,6.6,155000,Horror,< 2 hrs
Salem's Lot,5.6,35000,Horror,< 2 hrs
Smile 2,6.7,115000,Horror,2–3 hrs
Trap,5.8,146000,Horror,< 2 hrs
I Don't Understand You,5.5,713,Horror,< 2 hrs
Abigail,6.5,101000,Horror,< 2 hrs
MaXXXine,6.2,74000,Horror,< 2 hrs
A Quiet Place: Day One,6.3,155000,Horror,< 2 hrs
The Shrouds,5.8,3900,Horror,3–4 hrs
Oddity,6.7,47000,Horror,< 2 hrs
Terrifier 3,6.3,52000,Horror,2–3 hrs
The Strangers: Chapter 1,4.6,23000,Horror,< 2 hrs
Don't Move,5.8,41000,Horror,< 2 hrs
The Crow,4.7,37000,Horror,< 2 hrs
Witchboard,7.5,113,Horror,< 2 hrs
Cuckoo,5.7,29000,Horror,< 2 hrs
The Rule of Jenny Pen,6.2,6100,Horror,< 2 hrs
Immaculate,5.8,54000,Horror,< 2 hrs
The Watchers,5.7,59000,Horror,< 2 hrs
Time Cut,5.0,20000,Horror,< 2 hrs
MadS,6.4,8900,Horror,< 2 hrs
The Damned,5.7,5700,Horror,< 2 hrs
1978,5.2,582,Horror,< 2 hrs
Survive,4.6,3200,Horror,< 2 hrs
Monster Island,6.1,94,Horror,< 2 hrs
Nightbitch,5.5,21000,Horror,< 2 hrs
Saint Clare,7.1,116,Horror,< 2 hrs
Arcadian,5.5,25000,Horror,< 2 hrs
Apartment 7A,5.9,17000,Horror,< 2 hrs
Night Swim,4.7,28000,Horror,< 2 hrs
Never Let Go,5.4,16000,Horror,< 2 hrs
Strange Harvest,6.8,78,Horror,< 2 hrs
Y2K,4.8,16000,Horror,< 2 hrs
Exhuma,6.9,25000,Horror,2–3 hrs
The First Omen,6.5,66000,Horror,< 2 hrs
Apocalypse Z: The Beginning of the End,6.1,21000,Horror,< 2 hrs
Outbreak,4.4,1200,Horror,< 2 hrs
Bone Lake,6.15,0,Horror,< 2 hrs
Azrael,5.4,12000,Horror,< 2 hrs
The Deliverance,5.1,23000,Horror,< 2 hrs
Dead Mail,6.0,2100,Horror,< 2 hrs
Get Away,5.3,7600,Horror,< 2 hrs
Your Monster,6.4,6400,Horror,< 2 hrs
Under Paris,5.2,37000,Horror,< 2 hrs
Out Come the Wolves,4.7,1700,Horror,< 2 hrs
In a Violent Nature,5.6,28000,Horror,< 2 hrs
Tarot,4.8,33000,Horror,< 2 hrs
Stree 2: Sarkate Ka Aatank,6.9,43000,Horror,2–3 hrs
The Devil's Bath,6.6,6800,Horror,2–3 hrs
Frewaka,6.1,1500,Horror,< 2 hrs
Beezel,4.9,1500,Horror,< 2 hrs
Hellboy: The Crooked Man,4.5,15000,Horror,< 2 hrs
A Desert,5.9,352,Horror,< 2 hrs
Chime,6.4,2700,Horror,3–4 hrs
Sting,5.7,17000,Horror,< 2 hrs
Lisa Frankenstein,6.1,29000,Horror,< 2 hrs
Ghost Killer,6.8,87,Horror,< 2 hrs
Die Alone,5.8,4000,Horror,< 2 hrs
Rumours,4.9,5200,Horror,< 2 hrs
The Beldham,7.0,48,Horror,< 2 hrs
The Wailing,6.1,1700,Horror,< 2 hrs
The Platform 2,4.9,41000,Horror,< 2 hrs
Succubus,4.6,1400,Horror,< 2 hrs
Lowlifes,6.2,6800,Horror,< 2 hrs
The Beast Within,4.3,5300,Horror,< 2 hrs
Grafted,5.6,2600,Horror,< 2 hrs
A Sacrifice,5.0,5800,Horror,< 2 hrs
The Master and Margarita,7.2,5000,Horror,2–3 hrs
Swap,2.9,371,Horror,< 2 hrs
Blood Star,6.4,6200,Horror,< 2 hrs
Werewolves,4.4,7600,Horror,< 2 hrs
The Balconettes,5.8,1400,Horror,< 2 hrs
Afraid,5.2,15000,Horror,< 2 hrs
The Twin,8.1,68,Horror,< 2 hrs
