Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
Nosferatu,7.2,212K,2h 12m,Horror
Heretic,7.0,164K,1h 51m,Horror
The Substance,7.2,320K,2h 21m,Horror
Please Don't Feed the Children,4.9,343,1h 34m,Horror
Presence,6.1,30K,1h 24m,Horror
Speak No Evil,6.8,111K,1h 50m,Horror
Alien: Romulus,7.1,255K,1h 59m,Horror
Longlegs,6.6,194K,1h 41m,Horror
Kinds of Kindness,6.5,61K,2h 44m,Horror
Beetlejuice Beetlejuice,6.6,155K,1h 45m,Horror
Salem's Lot,5.6,35K,1h 54m,Horror
Smile 2,6.7,115K,2h 7m,Horror
Trap,5.8,146K,1h 45m,Horror
I Don't Understand You,5.5,713,1h 37m,Horror
Abigail,6.5,101K,1h 49m,Horror
MaXXXine,6.2,74K,1h 43m,Horror
A Quiet Place: Day One,6.3,155K,1h 39m,Horror
The Shrouds,5.8,3.9K,N/A,Horror
Oddity,6.7,47K,1h 38m,Horror
Terrifier 3,6.3,52K,2h 5m,Horror
The Strangers: Chapter 1,4.6,23K,1h 31m,Horror
Don't Move,5.8,41K,1h 32m,Horror
The Crow,4.7,37K,1h 51m,Horror
Witchboard,7.5,113,1h 52m,Horror
Cuckoo,5.7,29K,1h 42m,Horror
The Rule of Jenny Pen,6.2,6.1K,1h 44m,Horror
Immaculate,5.8,54K,1h 29m,Horror
The Watchers,5.7,59K,1h 42m,Horror
Time Cut,5.0,20K,1h 31m,Horror
MadS,6.4,8.9K,1h 29m,Horror
The Damned,5.7,5.7K,1h 29m,Horror
1978,5.2,582,1h 16m,Horror
Survive,4.6,3.2K,1h 30m,Horror
Monster Island,6.1,94,1h 23m,Horror
Nightbitch,5.5,21K,1h 39m,Horror
Saint Clare,7.1,116,1h 32m,Horror
Arcadian,5.5,25K,1h 32m,Horror
Apartment 7A,5.9,17K,1h 47m,Horror
Night Swim,4.7,28K,1h 38m,Horror
Never Let Go,5.4,16K,1h 41m,Horror
Strange Harvest,6.8,78,1h 34m,Horror
Y2K,4.8,16K,1h 31m,Horror
Exhuma,6.9,25K,2h 14m,Horror
The First Omen,6.5,66K,1h 59m,Horror
Apocalypse Z: The Beginning of the End,6.1,21K,1h 57m,Horror
Outbreak,4.4,1.2K,1h 28m,Horror
Bone Lake,N/A,N/A,1h 34m,Horror
Azrael,5.4,12K,1h 26m,Horror
The Deliverance,5.1,23K,1h 52m,Horror
Dead Mail,6.0,2.1K,1h 46m,Horror
Get Away,5.3,7.6K,1h 26m,Horror
Your Monster,6.4,6.4K,1h 43m,Horror
Under Paris,5.2,37K,1h 44m,Horror
Out Come the Wolves,4.7,1.7K,1h 26m,Horror
In a Violent Nature,5.6,28K,1h 34m,Horror
Tarot,4.8,33K,1h 32m,Horror
Stree 2: Sarkate Ka Aatank,6.9,43K,2h 27m,Horror
The Devil's Bath,6.6,6.8K,2h 1m,Horror
Frewaka,6.1,1.5K,1h 43m,Horror
Beezel,4.9,1.5K,1h 21m,Horror
Hellboy: The Crooked Man,4.5,15K,1h 39m,Horror
A Desert,5.9,352,1h 43m,Horror
Chime,6.4,2.7K,N/A,Horror
Sting,5.7,17K,1h 31m,Horror
Lisa Frankenstein,6.1,29K,1h 41m,Horror
Ghost Killer,6.8,87,1h 45m,Horror
Die Alone,5.8,4K,1h 30m,Horror
Rumours,4.9,5.2K,1h 44m,Horror
The Beldham,7.0,48,1h 25m,Horror
The Wailing,6.1,1.7K,1h 47m,Horror
The Platform 2,4.9,41K,1h 39m,Horror
Succubus,4.6,1.4K,1h 43m,Horror
Lowlifes,6.2,6.8K,1h 30m,Horror
The Beast Within,4.3,5.3K,1h 37m,Horror
Grafted,5.6,2.6K,1h 36m,Horror
A Sacrifice,5.0,5.8K,1h 34m,Horror
The Master and Margarita,7.2,5K,2h 36m,Horror
Swap,2.9,371,1h 26m,Horror
Blood Star,6.4,6.2K,1h 37m,Horror
Werewolves,4.4,7.6K,1h 33m,Horror
The Balconettes,5.8,1.4K,1h 44m,Horror
Afraid,5.2,15K,1h 24m,Horror
The Twin,8.1,68,1h 43m,Horror
The Banished,5.6,29,1h 37m,Horror
Dan Da Dan: First Encounter,8.2,3K,1h 23m,Horror
Shaitaan,6.5,55K,2h 12m,Horror
The Exorcism,4.2,12K,1h 35m,Horror
Humane,5.5,7.6K,1h 33m,Horror
Bogieville,4.1,639,1h 48m,Horror
Ick,5.5,221,1h 27m,Horror
Bhool Bhulaiyaa 3,4.6,78K,2h 38m,Horror
V/H/S/Beyond,5.8,9.9K,1h 54m,Horror
Push,N/A,N/A,1h 29m,Horror
Bramayugam,7.8,15K,2h 19m,Horror
Daddy's Head,5.6,5.5K,1h 32m,Horror
Outside,5.1,4.8K,2h 22m,Horror
Shell,6.8,78,1h 40m,Horror
Bagman,4.7,6.3K,1h 33m,Horror
Queen of Bones,4.7,265,1h 30m,Horror
Bleeding,4.3,353,1h 37m,Horror
The Severed Sun,4.9,349,1h 20m,Horror
Went Up the Hill,6.6,88,1h 40m,Horror
Here After,4.2,1.7K,1h 33m,Horror
Blackwater Lane,4.6,2.3K,1h 48m,Horror
Dead Talents Society,7.0,2.6K,1h 51m,Horror
Compulsion,6.9,32,N/A,Horror
Sumala,5.8,1.2K,1h 52m,Horror
The Last Breath,4.7,2.5K,1h 36m,Horror
Munjya,6.3,26K,2h 3m,Horror
The Inheritance,4.7,3.1K,1h 25m,Horror
We Bury the Dead,6.9,123,1h 34m,Horror
Winnie-the-Pooh: Blood and Honey 2,4.7,12K,1h 33m,Horror
The Curse of the Necklace,4.5,1.4K,1h 39m,Horror
The Corpse Washer,6.1,1.3K,1h 47m,Horror
The Painted,4.8,1.1K,1h 25m,Horror
Hold Your Breath,5.3,8.9K,1h 34m,Horror
You Can't Run Forever,4.5,4.4K,1h 42m,Horror
The Front Room,4.6,5.7K,1h 34m,Horror
Turno Nocturno,5.3,687,1h 47m,Horror
Cloud,6.3,1.6K,2h 4m,Horror
Something in the Water,4.1,5K,1h 26m,Horror
Grave Torture,6.2,3.1K,1h 57m,Horror
Kryptic,4.1,618,1h 42m,Horror
Shelby Oaks,5.8,259,1h 39m,Horror
Things Will Be Different,5.2,2.8K,1h 42m,Horror
Drive Back,4.5,650,1h 34m,Horror
Sayuri,6.4,342,1h 48m,Horror
The Vampire Next Door,4.6,795,1h 50m,Horror
Lembayung,5.9,780,2h 3m,Horror
Pedro Páramo,6.3,3.1K,2h 10m,Horror
Wynonna Earp: Vengeance,5.5,1.7K,1h 36m,Horror
Year 10,5.4,2K,1h 36m,Horror
Handling the Undead,5.3,4.6K,1h 37m,Horror
The Radleys,5.0,2.9K,1h 55m,Horror
The Matriarch,6.4,23,1h 22m,Horror
Death's Sonata,8.4,464,1h 43m,Horror
Imaginary,4.7,18K,1h 44m,Horror
Noise,6.3,87,1h 33m,Horror
River of Blood,5.0,2K,1h 26m,Horror
Latency,4.2,2.9K,1h 34m,Horror
Milk & Serial,6.6,2.7K,1h 2m,Horror
Black,7.1,2.9K,1h 55m,Horror
Stream,5.9,9.5K,2h 3m,Horror
Ghost Train,N/A,N/A,1h 34m,Horror
The Haunted Apartment: Miss K,5.6,484,1h 43m,Horror
The Forbidden Camp: Mass Possession,6.1,370,1h 52m,Horror
Bystanders,3.9,373,1h 22m,Horror
Devon,2.6,307,1h 12m,Horror
The Moogai,5.4,393,1h 26m,Horror
Night of the Zoopocalypse,6.1,940,1h 31m,Horror
Rippy,4.2,978,1h 23m,Horror
The Killgrin,6.2,79,1h 23m,Horror
Pins & Needles,6.7,23,1h 35m,Horror
Carved,4.4,2.9K,1h 35m,Horror
Destroy All Neighbors,5.3,2.1K,1h 25m,Horror
House of Spoils,5.0,4K,1h 41m,Horror
Test Screening,6.9,68,1h 32m,Horror
Bureau 749,3.9,582,2h 3m,Horror
Krazy House,4.8,1.5K,1h 29m,Horror
Room Service,3.9,323,N/A,Horror
The Mouse Trap,2.5,3.6K,1h 20m,Horror
The Waves of Madness,5.8,112,1h 8m,Horror
The Dead Thing,4.7,1K,1h 34m,Horror
Munkar,5.2,557,1h 27m,Horror
The Containment,4.6,59,1h 22m,Horror
Handsome Guys,6.5,975,1h 41m,Horror
Dominion of Darkness,5.6,858,1h 36m,Horror
Spin the Bottle,3.5,1.1K,2h 4m,Horror
Jimmy and Stiggs,6.1,83,1h 20m,Horror
Fear Cabin: The Last Weekend of Summer,3.2,10,1h 17m,Horror
Slay,6.5,1.2K,1h 39m,Horror
Peripheral,9.4,32,1h 28m,Horror
Baby Invasion,4.6,587,1h 20m,Horror
H. P. Lovecraft's the Old Ones,3.6,412,1h 24m,Horror
Sunrise,3.9,1.2K,1h 33m,Horror
Mr. Crocket,5.4,4.9K,1h 28m,Horror
Iconic,6.9,428,1h 30m,Horror
Conjuring the Cult,4.6,935,1h 33m,Horror
Possessions,3.8,880,1h 29m,Horror
Its Name Was Mormo,3.7,155,1h 33m,Horror
Anaconda,4.9,673,1h 24m,Horror
Scopophobia,5.4,85,1h 40m,Horror
Spiders on a Plane,4.7,400,1h 18m,Horror
The Soul Eater,5.8,3K,1h 48m,Horror
The Jack in the Box Rises,4.1,831,1h 32m,Horror
Strange Frequencies: Taiwan Killer Hospital,7.3,74,1h 31m,Horror
Dark Match,5.4,1.2K,1h 34m,Horror
Continente,5.2,94,1h 55m,Horror
Ghost Game,3.4,365,1h 26m,Horror
Riders,6.4,511,1h 45m,Horror
Crescent City,3.9,1.5K,1h 43m,Horror
The Bunker,4.3,357,1h 32m,Horror
Unspeakable: Beyond the Wall of Sleep,4.9,124,1h 30m,Horror
Up the Catalogue,8.8,5,N/A,Horror
Chainsaws Were Singing,7.2,386,1h 57m,Horror
Heretics,3.9,98,1h 23m,Horror
Interlopers,5.0,73,1h 46m,Horror
Saint Catherine,3.5,250,1h 26m,Horror
Solvent,7.1,454,1h 34m,Horror
Cinderella's Curse,3.4,1.4K,1h 22m,Horror
Chain Reactions,7.1,111,1h 43m,Horror
Hell Hole,4.5,1.3K,1h 32m,Horror
X Files,2.3,68,1h 14m,Horror
Little Bites,4.7,1.3K,1h 45m,Horror
Barda,4.6,663,1h 39m,Horror
Dr. Sander's Sleep Cure,6.4,1K,1h 42m,Horror
Street Trash,4.5,953,1h 25m,Horror
Kuang Bao Ju Xi,5.6,86,1h 15m,Horror
Frankie Freako,5.6,1.3K,1h 25m,Horror
The Ceremony Is About to Begin,4.5,821,1h 10m,Horror
The North Witch,4.9,50,1h 20m,Horror
Terminator: Skynet Rising,6.7,283,1h 28m,Horror
Tantra,5.0,2.4K,2h 16m,Horror
Butchers Book Two: Raghorn,4.1,666,1h 28m,Horror
The Woods,4.0,68,1h 16m,Horror
Crackcoon,3.6,451,1h 28m,Horror
Mononoke the Movie: The Phantom in the Rain,6.7,1.4K,1h 29m,Horror
Scurry,7.6,26,1h 30m,Horror
I Heart Willie,6.1,117,1h 28m,Horror
Granny,8.0,7,N/A,Horror
The Demon Disorder,4.8,1.3K,1h 26m,Horror
Trope,4.1,35,1h 26m,Horror
People in the Walls,3.2,48,1h 33m,Horror
Grotesque 2,6.1,599,N/A,Horror
Dirty Boy,7.8,35,1h 38m,Horror
Goldilocks and the Three Bears: Death and Porridge,2.1,1.9K,1h 22m,Horror
The Ruse,7.4,422,1h 45m,Horror
Sengkolo: Malam satu suro,5.8,62,1h 40m,Horror
Invasive,5.6,801,1h 37m,Horror
Sakaratul Maut,5.4,189,1h 47m,Horror
Else,6.0,276,1h 42m,Horror
Lumina,2.1,709,1h 53m,Horror
Hunting Matthew Nichols,8.8,45,1h 36m,Horror
Heresy,6.9,316,1h 1m,Horror
History of Evil,3.4,833,1h 38m,Horror
Cadi,6.3,4.4K,2h 14m,Horror
Stupid Games,4.2,428,1h 26m,Horror
Where is My Head?,6.8,84,1h 30m,Horror
The Mermaid,9.6,15,1h 45m,Horror
Kang Mak,6.4,893,2h 2m,Horror
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,7.9,157,6h 3m,Horror
Massacre at Femur Creek,6.6,571,1h 22m,Horror
Curse of the Sin Eater,4.9,804,1h 30m,Horror
Succubus,3.5,893,1h 36m,Horror
An Intruder Among Us,9.4,20,N/A,Horror
All Hallows' Eve: Inferno,4.3,133,1h 14m,Horror
Sea of Madness,6.9,30,1h 33m,Horror
Bigfoot Exorcist,2.7,226,1h 10m,Horror
Broken Bird,5.7,127,1h 39m,Horror
Demonte Colony 2,6.6,4.6K,2h 24m,Horror
