Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
Anora,7.5,208K,2h 19m,Romance
Wicked,7.4,171K,2h 40m,Romance
We Live in Time,7.0,57K,1h 48m,Romance
Mon Potongo,4.7,714,2h 29m,Romance
Babygirl,5.8,65K,1h 54m,Romance
The Fall Guy,6.8,228K,2h 6m,Romance
The Count of Monte-Cristo,7.6,38K,2h 58m,Romance
Challengers,7.0,160K,2h 11m,Romance
It Ends with Us,6.3,89K,2h 10m,Romance
Fly Me to the Moon,6.6,52K,2h 12m,Romance
The Idea of You,6.3,75K,1h 55m,Romance
F*** Marry Kill,5.3,3.3K,1h 37m,Romance
My Old Ass,6.9,42K,1h 29m,Romance
Queer,6.4,24K,2h 17m,Romance
Young Hearts,7.9,5.8K,1h 39m,Romance
Love Lies Bleeding,6.6,59K,1h 44m,Romance
On Swift Horses,6.0,2.6K,1h 59m,Romance
A Family Affair,5.4,38K,1h 51m,Romance
The Crow,4.7,37K,1h 51m,Romance
Role Play,5.5,19K,1h 40m,Romance
A Nice Indian Boy,7.4,2.4K,1h 36m,Romance
All We Imagine as Light,7.1,11K,1h 58m,Romance
Jane Austen Wrecked My Life,6.4,904,1h 38m,Romance
Turtles All the Way Down,6.6,7.6K,1h 51m,Romance
Bonjour Tristesse,5.9,502,1h 50m,Romance
Spaceman,5.7,44K,1h 47m,Romance
Before We Forget,7.5,145,1h 48m,Romance
Love Across Time,7.1,822,N/A,Romance
Your Monster,6.4,6.4K,1h 43m,Romance
Daniela Forever,5.9,350,1h 53m,Romance
Culpa Tuya,5.2,14K,1h 58m,Romance
Private Tutor,4.8,238,1h 5m,Romance
Dreams (Sex Love),7.6,857,1h 50m,Romance
Someone Like You,5.9,2.4K,1h 58m,Romance
Love Me,5.1,3K,1h 31m,Romance
Winter Spring Summer or Fall,6.0,3.1K,1h 37m,Romance
Lonely Planet,5.7,12K,1h 34m,Romance
High Tide,6.4,791,1h 41m,Romance
Young Woman and the Sea,7.5,18K,2h 9m,Romance
Dan Da Dan: First Encounter,8.2,3K,1h 23m,Romance
Upgraded,6.1,30K,1h 44m,Romance
Lisa Frankenstein,6.1,29K,1h 41m,Romance
Ask Me What You Want,3.9,1.3K,1h 54m,Romance
Emmanuelle,4.1,1.9K,1h 47m,Romance
The Greatest Hits,6.2,7.7K,1h 34m,Romance
Vulgar,5.4,200,1h 43m,Romance
Loveable,7.7,2.7K,1h 41m,Romance
My Favourite Cake,7.4,7.9K,1h 37m,Romance
The Master and Margarita,7.2,5K,2h 36m,Romance
The Tearsmith,5.2,13K,1h 43m,Romance
Find Me Falling,6.3,13K,1h 33m,Romance
Lick,6.1,1K,1h 15m,Romance
Went Up the Hill,6.6,91,1h 40m,Romance
Sidelined: The QB and Me,5.9,4.2K,1h 39m,Romance
The Southern Chronicles,8.7,2.9K,N/A,Romance
Die Alone,5.8,4K,1h 30m,Romance
Killer Heat,5.6,14K,1h 35m,Romance
Turn Me On,5.6,762,1h 39m,Romance
Lilies Not for Me,7.0,712,1h 39m,Romance
Beating Hearts,7.0,6.1K,2h 46m,Romance
Mother of the Bride,4.8,17K,1h 28m,Romance
La Cocina,7.1,3.8K,2h 19m,Romance
Super Happy Forever,6.9,274,1h 34m,Romance
Sunlight,7.6,37,1h 36m,Romance
Touch,7.4,5.9K,2h 1m,Romance
Love,7.3,557,1h 59m,Romance
Our Little Secret,5.7,24K,1h 41m,Romance
Sex,6.6,1.5K,1h 58m,Romance
This Time Next Year,5.6,2.4K,1h 56m,Romance
Grafted,5.6,2.7K,1h 36m,Romance
Girls Will Be Girls,7.1,2.8K,1h 58m,Romance
Pedro Páramo,6.3,3.1K,2h 10m,Romance
Love in the Big City,7.4,1.7K,1h 58m,Romance
The Astronaut Lovers,7.1,972,1h 56m,Romance
Irish Wish,5.2,22K,1h 33m,Romance
Through My Window: Looking at You,5.5,5.6K,1h 45m,Romance
Beautiful Wedding,4.1,4.4K,1h 40m,Romance
Premalu,7.8,21K,2h 36m,Romance
My Ex's Wedding,8.8,58,1h 35m,Romance
Addition,8.3,32,1h 31m,Romance
Romance on the Ranch,6.8,417,1h 28m,Romance
Wanted: Girlfriend,4.2,238,N/A,Romance
Grand Tour,6.5,2.2K,2h 9m,Romance
Teri Baaton Mein Aisa Uljha Jiya,6.2,54K,2h 21m,Romance
Hot Frosty,5.3,15K,1h 32m,Romance
Marmalade,6.3,3.8K,1h 39m,Romance
Boot Camp,5.8,1.3K,1h 34m,Romance
Young Werther,5.6,291,1h 41m,Romance
White Snake: Afloat,6.9,589,2h 13m,Romance
Mor Chhainha Bhuinya 2,7.4,131,2h 40m,Romance
The Best Christmas Pageant Ever,6.8,6.3K,1h 39m,Romance
Girl Haunts Boy,6.3,3.4K,1h 40m,Romance
A True Gentleman,4.5,2.3K,1h 50m,Romance
The Family Star,5.4,5.6K,2h 39m,Romance
Dandelion,5.3,420,1h 53m,Romance
This Is Me... Now,4.1,7.2K,1h 5m,Romance
Eks,4.5,213,2h 1m,Romance
The Merry Gentlemen,4.8,10K,1h 27m,Romance
Another End,6.4,846,1h 59m,Romance
5lbs of Pressure,5.2,1.7K,1h 51m,Romance
Uranus 2324,6.4,4.9K,2h 10m,Romance
You Are the Apple of My Eye,6.8,3.8K,1h 41m,Romance
Her Seyin Basi Merkür,3.3,480,1h 45m,Romance
Players,5.7,12K,1h 45m,Romance
Blue Sun Palace,6.6,224,1h 56m,Romance
Drawing Closer,7.6,2.8K,1h 58m,Romance
18×2 Beyond Youthful Days,7.3,2.1K,2h 3m,Romance
Mascarpone: The Rainbow Cake,6.0,547,1h 45m,Romance
Lesbian Space Princess,7.1,207,1h 27m,Romance
Swap,2.9,379,1h 26m,Romance
Darkest Miriam,5.8,328,1h 27m,Romance
City Hunter,6.3,5.8K,1h 42m,Romance
Take My Hand,6.2,349,1h 42m,Romance
Ashes,4.3,2.7K,1h 40m,Romance
I Can Never Be Yours,7.9,179,N/A,Romance
